id,scholarshipId,name,link,eligibleNationalities,eligibleDegreeLevels,eligibleHighSchoolTracks,eligibleFields,preferredSchoolTier,minAge,maxAge,minReportCardAverage,minMajorSubjectAverage,languageRequirements,requiresFinancialNeed,maxFamilyIncomeCategory,hostCountry,hostRegion,selectionCriteria,careerTrackPreference,requiresReturnHomeCountry,missionStatement,targetRecipientProfile,fundingCoversTuition,fundingCoversLiving,fundingCoversAirfare,fundingCoversInsurance,fundingMonthlyStipend,fundingIsFullFunding,fundingCoverageCount,createdAt,updatedAt
1,SCH_000000,Beasiswa Indonesia Maju (BIM) — S1 Luar Negeri,,indonesia,high_school,"languages,science,social_studies,vocational","computer_science,engineering,medicine,business,economics,education,social_sciences,agriculture",public_a,17,22,80,78,"[object Object],[object Object]",false,high,uk,europe,[object Object],government,true,"Beasiswa Indonesia Maju mendukung putra-putri terbaik Indonesia untuk menempuh pendidikan S1 di universitas terkemuka dunia, demi membangun sumber daya manusia Indonesia yang unggul dan berdaya saing global.","Kami mencari siswa Indonesia berprestasi dengan nilai rata-rata minimal 80/100, IELTS 6.0 atau TOEFL IBT 79, rekam jejak kepemimpinan, dan komitmen untuk kembali berkontribusi bagi pembangunan Indonesia setelah lulus.",true,true,true,true,1500,true,4,Sat May 30 2026 02:44:05 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:05 GMT+0000 (Coordinated Universal Time)
2,SCH_000001,MEXT Undergraduate Scholarship,,"indonesia,malaysia,thailand,philippines,vietnam,india,china,south_korea",high_school,"science,vocational","engineering,computer_science,mathematics,physics,chemistry,biology,medicine",public_a,17,24,80,75,[object Object],false,high,japan,asia,[object Object],industry,false,"The MEXT Undergraduate Scholarship supports outstanding students from Asia and beyond to pursue studies in science, technology, engineering, and medicine in Japan, fostering mutual understanding and global academic excellence.","We seek high-achieving students with a minimum GPA of 80/100 and strong aptitude in science and mathematics, committed to contributing to technological advancement and Japan-Indonesia bilateral cooperation.",true,true,true,true,117000,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
3,SCH_000002,Korean Government Scholarship (GKS) — Undergraduate,,"indonesia,vietnam,malaysia,thailand,philippines,india,china",high_school,"languages,science,social_studies,vocational","computer_science,engineering,business,economics,social_sciences,arts_humanities",public_a,17,24,80,75,"[object Object],[object Object]",false,high,south_korea,asia,[object Object],industry,false,"The Korean Government Scholarship Program nurtures future global leaders from Asia by providing a fully funded undergraduate education at top Korean universities, strengthening Korea's ties with partner nations.","We seek motivated students with a minimum GPA of 80/100 who demonstrate leadership potential and interest in Korean culture, technology, or business, with English or Korean language proficiency.",true,true,true,true,900000,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
4,SCH_000003,ASEAN Scholarship (Singapore),,"indonesia,malaysia,thailand,philippines,vietnam",high_school,"science,social_studies","computer_science,engineering,mathematics,economics,business",excellence,16,18,82,80,[object Object],false,high,singapore,asia,[object Object],industry,false,"The ASEAN Scholarship (Singapore) develops the next generation of regional leaders by bringing exceptional ASEAN students to study at Singapore's world-class schools, building lasting bonds across Southeast Asia.","We seek academically outstanding students aged 16-18 with a minimum GPA of 82/100, IELTS 6.0 or above, and demonstrated leadership and co-curricular excellence from ASEAN member countries.",true,true,true,true,22800,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
5,SCH_000004,Stipendium Hungaricum,,"indonesia,vietnam,thailand,malaysia,philippines,india,china",high_school,"languages,science,social_studies,vocational","computer_science,engineering,medicine,agriculture,economics,arts_humanities",public_a,17,23,75,70,"[object Object],[object Object]",false,high,germany,europe,[object Object],industry,false,"Stipendium Hungaricum invites talented students from partner countries to experience Hungary's rich academic tradition, covering tuition and living expenses to make European higher education accessible to deserving students worldwide.","We seek motivated students with a minimum GPA of 75/100 and English or Hungarian language proficiency, with passion for engineering, medicine, agriculture, or arts and a desire to study in Central Europe.",true,true,false,true,540,true,3,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
6,SCH_000005,Türkiye Bursları (Turkish Government Scholarship),,"indonesia,malaysia,vietnam,thailand,philippines,india,egypt,morocco,nigeria,kenya",high_school,"languages,science,social_studies,vocational","computer_science,engineering,medicine,economics,social_sciences,arts_humanities,law,education",public_a,17,21,70,65,"[object Object],[object Object]",false,high,netherlands,europe,[object Object],industry,false,"Türkiye Bursları brings together talented students from across the globe to study in Turkey, building bridges between cultures and developing future leaders who will strengthen international cooperation and development.","We seek intellectually curious students with a minimum GPA of 70/100 from partner countries who are interested in Turkish culture and language, with ambitions in medicine, engineering, social sciences, or the humanities.",true,true,true,true,700,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
7,SCH_000006,Chinese Government Scholarship (CSC),,"indonesia,malaysia,thailand,philippines,vietnam,india,egypt,morocco,nigeria,kenya,south_africa",high_school,"science,social_studies,vocational","computer_science,engineering,medicine,economics,business,mathematics,chemistry,biology",public_a,17,25,75,70,"[object Object],[object Object]",false,high,china,asia,[object Object],industry,false,"The Chinese Government Scholarship supports international students in pursuing undergraduate education at China's premier universities, fostering cross-cultural understanding and contributing to global scientific and economic progress.","We seek students with a minimum GPA of 75/100 who are passionate about science, technology, medicine, or business and eager to immerse themselves in Chinese academic culture, with HSK or English proficiency preferred.",true,true,false,true,2500,true,3,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
8,SCH_000007,Russian Government Scholarship (Undergraduate),,"indonesia,vietnam,india,malaysia,egypt,nigeria,kenya,south_africa,morocco",high_school,"science,social_studies,vocational","engineering,computer_science,medicine,mathematics,chemistry,physics,economics",public_a,17,25,70,65,[object Object],false,high,germany,europe,[object Object],industry,false,"The Russian Government Scholarship opens the doors of Russia's world-class universities to international students, offering fully funded education in engineering, medicine, and natural sciences to build global scientific cooperation.","We seek academically strong students with a minimum GPA of 70/100 who wish to study at Russian universities in STEM or medical fields, with willingness to learn the Russian language during a preparatory year.",true,true,false,false,1700,true,2,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
9,SCH_000008,UWC Scholarship (United World Colleges),,"indonesia,malaysia,vietnam,philippines,thailand,india,china,south_africa,kenya,nigeria,egypt,brazil,argentina",high_school,"science,social_studies,languages","social_sciences,arts_humanities,education,computer_science,biology,economics",public_a,16,17,78,75,[object Object],true,middle,netherlands,europe,[object Object],ngo_npo,false,"United World Colleges unites young people of all nations and cultures to create a more peaceful and sustainable world, offering transformative IB Diploma education at colleges across four continents through needs-based scholarships.","We seek exceptional 16-17 year olds from any background who demonstrate academic curiosity, commitment to community service, and the maturity to thrive in an international residential college environment, with financial need considered.",true,true,true,true,0,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
10,SCH_000009,AFS Intercultural Programs Scholarship,,"indonesia,malaysia,thailand,philippines,vietnam,india,brazil,argentina,chile",high_school,"science,social_studies,languages","social_sciences,arts_humanities,education,languages",accredited_b,15,18,72,70,[object Object],true,middle,usa,north_america,[object Object],ngo_npo,false,"AFS Intercultural Programs provides high school students with transformative exchange experiences abroad, developing global citizens who are equipped to build a more just and peaceful world through intercultural understanding.","We seek open-minded, adaptable high school students aged 15-18 with good academic standing, strong interpersonal skills, and a genuine interest in experiencing a new culture, language, and family environment for a full academic year.",true,true,true,true,0,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
