scholarship_id,name,eligible_nationalities,min_age,max_age,eligible_degree_levels,eligible_high_school_tracks,eligible_fields,preferred_school_tier,min_report_card_average,min_major_subject_average,language_requirements,requires_financial_need,max_family_income_category,host_country,host_region,selection_criteria,career_track_preference,requires_return_home_country,mission_statement,target_recipient_profile,funding_covers_tuition,funding_covers_living,funding_covers_airfare,funding_covers_insurance,funding_monthly_stipend,funding_is_full_funding,funding_coverage_count
SCH_000000,Beasiswa Indonesia Maju (BIM) — S1 Luar Negeri,"[""indonesia""]",17,22,"[""high_school""]","[""languages"", ""science"", ""social_studies"", ""vocational""]","[""computer_science"", ""engineering"", ""medicine"", ""business"", ""economics"", ""education"", ""social_sciences"", ""agriculture""]",public_a,80.0,78.0,"[{""test_type"": ""ielts"", ""min_score"": 6.0, ""is_mandatory"": true}, {""test_type"": ""toefl"", ""min_score"": 79.0, ""is_mandatory"": false}]",False,high,uk,europe,"{""academic"": 0.35, ""leadership"": 0.2, ""olympiad"": 0.15, ""extracurricular"": 0.15, ""essay"": 0.15}",government,True,"Beasiswa Indonesia Maju mendukung putra-putri terbaik Indonesia untuk menempuh pendidikan S1 di universitas terkemuka dunia, demi membangun sumber daya manusia Indonesia yang unggul dan berdaya saing global.","Kami mencari siswa Indonesia berprestasi dengan nilai rata-rata minimal 80/100, IELTS 6.0 atau TOEFL IBT 79, rekam jejak kepemimpinan, dan komitmen untuk kembali berkontribusi bagi pembangunan Indonesia setelah lulus.",True,True,True,True,1500.0,True,4
SCH_000001,MEXT Undergraduate Scholarship,"[""indonesia"", ""malaysia"", ""thailand"", ""philippines"", ""vietnam"", ""india"", ""china"", ""south_korea""]",17,24,"[""high_school""]","[""science"", ""vocational""]","[""engineering"", ""computer_science"", ""mathematics"", ""physics"", ""chemistry"", ""biology"", ""medicine""]",public_a,80.0,75.0,"[{""test_type"": ""toefl"", ""min_score"": 70.0, ""is_mandatory"": false}]",False,high,japan,asia,"{""academic"": 0.45, ""leadership"": 0.1, ""olympiad"": 0.2, ""extracurricular"": 0.1, ""essay"": 0.15}",industry,False,"The MEXT Undergraduate Scholarship supports outstanding students from Asia and beyond to pursue studies in science, technology, engineering, and medicine in Japan, fostering mutual understanding and global academic excellence.","We seek high-achieving students with a minimum GPA of 80/100 and strong aptitude in science and mathematics, committed to contributing to technological advancement and Japan-Indonesia bilateral cooperation.",True,True,True,True,117000.0,True,4
SCH_000002,Korean Government Scholarship (GKS) — Undergraduate,"[""indonesia"", ""vietnam"", ""malaysia"", ""thailand"", ""philippines"", ""india"", ""china""]",17,24,"[""high_school""]","[""languages"", ""science"", ""social_studies"", ""vocational""]","[""computer_science"", ""engineering"", ""business"", ""economics"", ""social_sciences"", ""arts_humanities""]",public_a,80.0,75.0,"[{""test_type"": ""topik"", ""min_score"": 100.0, ""is_mandatory"": false}, {""test_type"": ""toefl"", ""min_score"": 71.0, ""is_mandatory"": false}]",False,high,south_korea,asia,"{""academic"": 0.4, ""leadership"": 0.15, ""olympiad"": 0.1, ""extracurricular"": 0.15, ""essay"": 0.2}",industry,False,"The Korean Government Scholarship Program nurtures future global leaders from Asia by providing a fully funded undergraduate education at top Korean universities, strengthening Korea's ties with partner nations.","We seek motivated students with a minimum GPA of 80/100 who demonstrate leadership potential and interest in Korean culture, technology, or business, with English or Korean language proficiency.",True,True,True,True,900000.0,True,4
SCH_000003,ASEAN Scholarship (Singapore),"[""indonesia"", ""malaysia"", ""thailand"", ""philippines"", ""vietnam""]",16,18,"[""high_school""]","[""science"", ""social_studies""]","[""computer_science"", ""engineering"", ""mathematics"", ""economics"", ""business""]",excellence,82.0,80.0,"[{""test_type"": ""ielts"", ""min_score"": 6.0, ""is_mandatory"": true}]",False,high,singapore,asia,"{""academic"": 0.5, ""leadership"": 0.15, ""olympiad"": 0.15, ""extracurricular"": 0.1, ""essay"": 0.1}",industry,False,"The ASEAN Scholarship (Singapore) develops the next generation of regional leaders by bringing exceptional ASEAN students to study at Singapore's world-class schools, building lasting bonds across Southeast Asia.","We seek academically outstanding students aged 16-18 with a minimum GPA of 82/100, IELTS 6.0 or above, and demonstrated leadership and co-curricular excellence from ASEAN member countries.",True,True,True,True,22800.0,True,4
SCH_000004,Stipendium Hungaricum,"[""indonesia"", ""vietnam"", ""thailand"", ""malaysia"", ""philippines"", ""india"", ""china""]",17,23,"[""high_school""]","[""languages"", ""science"", ""social_studies"", ""vocational""]","[""computer_science"", ""engineering"", ""medicine"", ""agriculture"", ""economics"", ""arts_humanities""]",public_a,75.0,70.0,"[{""test_type"": ""toefl"", ""min_score"": 72.0, ""is_mandatory"": false}, {""test_type"": ""ielts"", ""min_score"": 5.5, ""is_mandatory"": false}]",False,high,germany,europe,"{""academic"": 0.4, ""leadership"": 0.1, ""olympiad"": 0.1, ""extracurricular"": 0.15, ""essay"": 0.25}",industry,False,"Stipendium Hungaricum invites talented students from partner countries to experience Hungary's rich academic tradition, covering tuition and living expenses to make European higher education accessible to deserving students worldwide.","We seek motivated students with a minimum GPA of 75/100 and English or Hungarian language proficiency, with passion for engineering, medicine, agriculture, or arts and a desire to study in Central Europe.",True,True,False,True,540.0,True,3
SCH_000005,Türkiye Bursları (Turkish Government Scholarship),"[""indonesia"", ""malaysia"", ""vietnam"", ""thailand"", ""philippines"", ""india"", ""egypt"", ""morocco"", ""nigeria"", ""kenya""]",17,21,"[""high_school""]","[""languages"", ""science"", ""social_studies"", ""vocational""]","[""computer_science"", ""engineering"", ""medicine"", ""economics"", ""social_sciences"", ""arts_humanities"", ""law"", ""education""]",public_a,70.0,65.0,"[{""test_type"": ""toefl"", ""min_score"": 60.0, ""is_mandatory"": false}, {""test_type"": ""ielts"", ""min_score"": 5.0, ""is_mandatory"": false}]",False,high,netherlands,europe,"{""academic"": 0.35, ""leadership"": 0.15, ""olympiad"": 0.1, ""extracurricular"": 0.15, ""essay"": 0.25}",industry,False,"Türkiye Bursları brings together talented students from across the globe to study in Turkey, building bridges between cultures and developing future leaders who will strengthen international cooperation and development.","We seek intellectually curious students with a minimum GPA of 70/100 from partner countries who are interested in Turkish culture and language, with ambitions in medicine, engineering, social sciences, or the humanities.",True,True,True,True,700.0,True,4
SCH_000006,Chinese Government Scholarship (CSC),"[""indonesia"", ""malaysia"", ""thailand"", ""philippines"", ""vietnam"", ""india"", ""egypt"", ""morocco"", ""nigeria"", ""kenya"", ""south_africa""]",17,25,"[""high_school""]","[""science"", ""social_studies"", ""vocational""]","[""computer_science"", ""engineering"", ""medicine"", ""economics"", ""business"", ""mathematics"", ""chemistry"", ""biology""]",public_a,75.0,70.0,"[{""test_type"": ""hsk"", ""min_score"": 180.0, ""is_mandatory"": false}, {""test_type"": ""toefl"", ""min_score"": 60.0, ""is_mandatory"": false}]",False,high,china,asia,"{""academic"": 0.45, ""leadership"": 0.1, ""olympiad"": 0.15, ""extracurricular"": 0.1, ""essay"": 0.2}",industry,False,"The Chinese Government Scholarship supports international students in pursuing undergraduate education at China's premier universities, fostering cross-cultural understanding and contributing to global scientific and economic progress.","We seek students with a minimum GPA of 75/100 who are passionate about science, technology, medicine, or business and eager to immerse themselves in Chinese academic culture, with HSK or English proficiency preferred.",True,True,False,True,2500.0,True,3
SCH_000007,Russian Government Scholarship (Undergraduate),"[""indonesia"", ""vietnam"", ""india"", ""malaysia"", ""egypt"", ""nigeria"", ""kenya"", ""south_africa"", ""morocco""]",17,25,"[""high_school""]","[""science"", ""social_studies"", ""vocational""]","[""engineering"", ""computer_science"", ""medicine"", ""mathematics"", ""chemistry"", ""physics"", ""economics""]",public_a,70.0,65.0,"[{""test_type"": ""toefl"", ""min_score"": 50.0, ""is_mandatory"": false}]",False,high,germany,europe,"{""academic"": 0.5, ""leadership"": 0.1, ""olympiad"": 0.15, ""extracurricular"": 0.1, ""essay"": 0.15}",industry,False,"The Russian Government Scholarship opens the doors of Russia's world-class universities to international students, offering fully funded education in engineering, medicine, and natural sciences to build global scientific cooperation.","We seek academically strong students with a minimum GPA of 70/100 who wish to study at Russian universities in STEM or medical fields, with willingness to learn the Russian language during a preparatory year.",True,True,False,False,1700.0,True,2
SCH_000008,UWC Scholarship (United World Colleges),"[""indonesia"", ""malaysia"", ""vietnam"", ""philippines"", ""thailand"", ""india"", ""china"", ""south_africa"", ""kenya"", ""nigeria"", ""egypt"", ""brazil"", ""argentina""]",16,17,"[""high_school""]","[""science"", ""social_studies"", ""languages""]","[""social_sciences"", ""arts_humanities"", ""education"", ""computer_science"", ""biology"", ""economics""]",public_a,78.0,75.0,"[{""test_type"": ""ielts"", ""min_score"": 5.5, ""is_mandatory"": false}]",True,middle,netherlands,europe,"{""academic"": 0.3, ""leadership"": 0.25, ""olympiad"": 0.05, ""extracurricular"": 0.2, ""essay"": 0.2}",ngo_npo,False,"United World Colleges unites young people of all nations and cultures to create a more peaceful and sustainable world, offering transformative IB Diploma education at colleges across four continents through needs-based scholarships.","We seek exceptional 16-17 year olds from any background who demonstrate academic curiosity, commitment to community service, and the maturity to thrive in an international residential college environment, with financial need considered.",True,True,True,True,0.0,True,4
SCH_000009,AFS Intercultural Programs Scholarship,"[""indonesia"", ""malaysia"", ""thailand"", ""philippines"", ""vietnam"", ""india"", ""brazil"", ""argentina"", ""chile""]",15,18,"[""high_school""]","[""science"", ""social_studies"", ""languages""]","[""social_sciences"", ""arts_humanities"", ""education"", ""languages""]",accredited_b,72.0,70.0,"[{""test_type"": ""toefl"", ""min_score"": 50.0, ""is_mandatory"": false}]",True,middle,usa,north_america,"{""academic"": 0.25, ""leadership"": 0.25, ""olympiad"": 0.05, ""extracurricular"": 0.25, ""essay"": 0.2}",ngo_npo,False,"AFS Intercultural Programs provides high school students with transformative exchange experiences abroad, developing global citizens who are equipped to build a more just and peaceful world through intercultural understanding.","We seek open-minded, adaptable high school students aged 15-18 with good academic standing, strong interpersonal skills, and a genuine interest in experiencing a new culture, language, and family environment for a full academic year.",True,True,True,True,0.0,True,4
